post_id,meme_captions
d079np,the meme poster try to convey that When you show off your bling and Thor gives it the nod of approval
d2rm3s,the meme poster try to convey that When you see Monday coming around the corner
d9gvok,the meme poster try to convey that  Everybody suddenly has something important to say
eimmhx,the meme poster try to convey that  The stages of realizing its only Tuesday
er70xq,the meme poster try to convey that  When youre sick and Yodas the only one who understands
eysyoj,the meme poster try to convey that  Building bridges like 
f0oq4v,the meme poster try to convey that  Pokémon Centers be like Aint nobody got time for healing!
fat6rn,the meme poster try to convey that  Blurry football dreams
fjiz2r,the meme poster try to convey that  Trying to hide from Michael Jordan like
fz7bbd,the meme poster try to convey that  Feeling like Poseidon with my trident
gxnnyn,the meme poster try to convey that  Thinking about lifes mysteries like
gy6y78,the meme poster try to convey that  When youre about to drop some serious truth bombs
hamwzf,the meme poster try to convey that  When the dance-off turns into a standoff
hg2c5y,the meme poster try to convey that  Discussing serious matters under the influence of chocolate
hmq8qx,the meme poster try to convey that  When the dinner party is a total flop
hmv62q,"the meme poster try to convey that  Just two dudes, strolling and contemplating life"
hv72fd,the meme poster try to convey that  DJ Khaled always has something to say
hypmff,the meme poster try to convey that  Stuck between a rock and a hard place
i5w6m3,the meme poster try to convey that  Seeing the world through rose-colored glasses
i8tn53,the meme poster try to convey that  When life gives you chips and then some
it6820,the meme poster try to convey that  Surprise! Were all equally confused
iyv1uh,"the meme poster try to convey that  Me, surrounded by all my imaginary friends"
j32ep7,the meme poster try to convey that  Monster talk: A whole new level of communication
j3qvhf,the meme poster try to convey that  Drakes fashion critique: Burgundy is so last season
jht4yd,the meme poster try to convey that  Trump vs Cartoons: The ultimate showdown
jwzd2u,the meme poster try to convey that  When youre trying to act casual but end up oversharing
k4xv8c,the meme poster try to convey that  Just another day in the office
k83rjb,the meme poster try to convey that  Post-marathon vibes be like
kds715,"the meme poster try to convey that  Aragorn, master of unconventional weaponry"
kq9d2b,the meme poster try to convey that  When you and your significant other swap bodies for the day
map6ds,the meme poster try to convey that  Leading meetings like a boss
n75nvu,the meme poster try to convey that  Raising eyebrows since forever
ras71b,the meme poster try to convey that  Introducing someone to Reddit: The beginning of a beautiful addiction
rqql2k,the meme poster try to convey that  Strength vs Happiness: The eternal struggle
s0hg28,the meme poster try to convey that  Winter wonderland or just another Monday?
s23t8o,the meme poster try to convey that  Caps vs No caps: A tale of two heads
s2l9le,the meme poster try to convey that  Shirt color coordination level: Expert
